SOC,SOH,Power,T,SEI_after,SEI_delta
80,2,-0.052632,23,1.9999999999946800E-08,-0.000532009
80,2,0.052632,23,2.0000004465554400E-08,44.65554399
80,2,0.15789,23,2.0000004559690200E-08,45.596902
80,2,0.26316,23,2.0000004657662200E-08,46.57662199
80,2,0.36842,23,2.0000004757243100E-08,47.57243099
80,2,0.47368,23,2.0000004860700200E-08,48.60700199
80,2,0.57895,23,2.0000004967272400E-08,49.67272399
80,2,0.68421,23,2.0000005075837100E-08,50.75837098
80,2,0.78947,23,2.0000005187767600E-08,51.87767599
80,2,0.89474,23,2.0000005302565700E-08,53.02565699
80,2,1,23,2.0000005420231800E-08,54.20231801
79,1,-1,23,9.9999999997442500E-09,-0.00255751
79,1,-0.89474,23,1.0000000000094900E-08,0.000948991
79,1,-0.78947,23,9.9999999999778000E-09,-0.000221999
79,1,-0.68421,23,9.9999999994973100E-09,-0.005026909
79,1,-0.57895,23,9.9999999991089900E-09,-0.008910108
79,1,-0.47368,23,1.0000000000410500E-08,0.004105
79,1,-0.36842,23,9.9999999999678800E-09,-0.000321194
79,1,-0.26316,23,1.0000000000226900E-08,0.002269006
79,1,-0.15789,23,1.0000000000115600E-08,0.001156001
79,1,-0.052632,23,1.0000000000180500E-08,0.001804991
79,1,0.052632,23,1.0000004485490900E-08,44.85490899
79,1,0.15789,23,1.0000004613788300E-08,46.137883
79,1,0.26316,23,1.0000004748883200E-08,47.48883199
79,1,0.36842,23,1.0000004888536900E-08,48.885369
79,1,0.47368,23,1.0000005035486100E-08,50.354861
79,1,0.57895,23,1.0000005186907800E-08,51.86907801
79,1,0.68421,23,1.0000005345562600E-08,53.455626
79,1,0.78947,23,1.0000005512075100E-08,55.120751
79,1,0.89474,23,1.0000005686102300E-08,56.861023
79,1,1,23,1.0000005866086000E-08,58.66086
79,1.1111,-1,23,1.1111000000277100E-08,0.002771005
79,1.1111,-0.89474,23,1.1111000000064600E-08,0.000646012
79,1.1111,-0.78947,23,1.1110999999893600E-08,-0.001063986
79,1.1111,-0.68421,23,1.1111000000415100E-08,0.004151007
79,1.1111,-0.57895,23,1.1111000000080800E-08,0.000808007
79,1.1111,-0.47368,23,1.1111000000107900E-08,0.001079007
79,1.1111,-0.36842,23,1.1111000000370000E-08,0.003700012
79,1.1111,-0.26316,23,1.1111000000464400E-08,0.004644007
79,1.1111,-0.15789,23,1.1111000000298400E-08,0.002984004
79,1.1111,-0.052632,23,1.1111000000037700E-08,0.000377012
79,1.1111,0.052632,23,1.1111004480594800E-08,44.80594801
79,1.1111,0.15789,23,1.1111004602064800E-08,46.02064801
79,1.1111,0.26316,23,1.1111004730132800E-08,47.301328
