,SOC,SOH,Power,T,SEI_after,SEI_delta
6319,49,1.5556,1.0,23,1.55560054594812e-08,54.594812
6330,49,1.6667,0.052632000000000005,23,1.66670044627671e-08,44.62767102
6331,49,1.6667,0.15789,23,1.66670045605877e-08,45.60587701
6332,49,1.6667,0.26316,23,1.66670046619857e-08,46.619857
6333,49,1.6667,0.36841999999999997,23,1.66670047659735e-08,47.659735
6334,49,1.6667,0.47368000000000005,23,1.6667004872476802e-08,48.72476799
6335,49,1.6667,0.57895,23,1.66670049813155e-08,49.813155
6336,49,1.6667,0.68421,23,1.6667005093667e-08,50.93666999
6337,49,1.6667,0.78947,23,1.66670052094272e-08,52.094272
6338,49,1.6667,0.89474,23,1.66670053272046e-08,53.27204601
6339,49,1.6667,1.0,23,1.66670054495969e-08,54.49596901
6350,49,1.7778,0.052632000000000005,23,1.77780044616549e-08,44.61654901
6351,49,1.7778,0.15789,23,1.77780045595835e-08,45.595835
6352,49,1.7778,0.26316,23,1.77780046589013e-08,46.58901303
6353,49,1.7778,0.36841999999999997,23,1.7778004762705203e-08,47.627052
6354,49,1.7778,0.47368000000000005,23,1.7778004867570002e-08,48.6757
6355,49,1.7778,0.57895,23,1.7778004975527002e-08,49.75527
6356,49,1.7778,0.68421,23,1.77780050873427e-08,50.87342701
6357,49,1.7778,0.78947,23,1.77780052012831e-08,52.01283101
6358,49,1.7778,0.89474,23,1.7778005318778898e-08,53.18778902
6359,49,1.7778,1.0,23,1.7778005439122798e-08,54.39122803
6370,49,1.8889,0.052632000000000005,23,1.8889004460179e-08,44.60178999
6371,49,1.8889,0.15789,23,1.8889004557497703e-08,45.57497698
6372,49,1.8889,0.26316,23,1.8889004656099e-08,46.560990000000004
6373,49,1.8889,0.36841999999999997,23,1.8889004758061598e-08,47.580616
6374,49,1.8889,0.47368000000000005,23,1.8889004862979202e-08,48.62979197
6375,49,1.8889,0.57895,23,1.88890049702203e-08,49.70220298
6376,49,1.8889,0.68421,23,1.88890050809413e-08,50.80941299
6377,49,1.8889,0.78947,23,1.88890051939056e-08,51.939056
6378,49,1.8889,0.89474,23,1.88890053099037e-08,53.09903698
6379,49,1.8889,1.0,23,1.88890054286355e-08,54.28635499
6390,49,2.0,0.052632000000000005,23,2.00000044586126e-08,44.586126
6391,49,2.0,0.15789,23,2.00000045549281e-08,45.54928101
6392,49,2.0,0.26316,23,2.00000046534798e-08,46.53479799
6393,49,2.0,0.36841999999999997,23,2.00000047549589e-08,47.54958899
6394,49,2.0,0.47368000000000005,23,2.00000048590862e-08,48.59086201
6395,49,2.0,0.57895,23,2.00000049649317e-08,49.64931699
6396,49,2.0,0.68421,23,2.00000050734111e-08,50.734111
6397,49,2.0,0.78947,23,2.00000051858858e-08,51.85885799
6398,49,2.0,0.89474,23,2.00000053012023e-08,53.012023
6399,49,2.0,1.0,23,2.00000054177171e-08,54.17717099
6410,48,1.0,0.052632000000000005,23,1.0000004467768001e-08,44.67767999
6411,48,1.0,0.15789,23,1.0000004570309199e-08,45.703092
6412,48,1.0,0.26316,23,1.00000046757549e-08,46.75754899
6413,48,1.0,0.36841999999999997,23,1.00000047853008e-08,47.853008
6414,48,1.0,0.47368000000000005,23,1.00000048963038e-08,48.963038
6415,48,1.0,0.57895,23,1.0000005012620801e-08,50.12620799
6416,48,1.0,0.68421,23,1.00000051319577e-08,51.31957699
6417,48,1.0,0.78947,23,1.0000005254324301e-08,52.54324299
6418,48,1.0,0.89474,23,1.0000005380289001e-08,53.80288999
6419,48,1.0,1.0,23,1.0000005510568599e-08,55.10568601
6430,48,1.1111,0.052632000000000005,23,1.11110044670038e-08,44.670038
6431,48,1.1111,0.15789,23,1.1111004568329801e-08,45.683298
